latitude	longitude	city	state
25.839972	-80.190302	Miami	Florida
25.840103	-80.217808	Hialeah	Florida
25.840503	-80.206314	Miami	Florida
25.84052	-80.206605	Miami	Florida
25.840848	-80.273469	Hialeah	Florida
25.841143	-80.25021	Hialeah	Florida
25.84225	-80.19781	Miami	Florida
25.842422	-80.247612	Hialeah	Florida
25.842471	-80.206849	Miami	Florida
25.843061	-80.246172	Hialeah	Florida
25.843156	-80.206226	Miami	Florida
25.843662	-80.329859	Medley	Florida
25.844792	-80.241108		Florida
25.84512	-80.206931	Miami	Florida
25.845523	-80.12676	Miami Beach	Florida
25.845624	-80.242613	Miami	Florida
25.845692	-80.24063	Hialeah	Florida
25.845852	-80.208065	Miami	Florida
25.845892	-80.239253	Miami	Florida
25.846898	-80.252254	Hialeah	Florida
25.847337	-80.248783	Hialeah	Florida
25.847876	-80.317496	Medley	Florida
25.849388	-80.242382	Hialeah	Florida
25.851392	-97.506266	Matamoros	Tamaulipas
25.851874	-80.206408	Hialeah	Florida
25.851893	-80.194235	Miami	Florida
25.852634	-80.24409	Hialeah	Florida
25.853749	-80.223497	Hialeah	Florida
25.853879	-80.215456	Hialeah	Florida
25.854019	-80.187995	El Portal	Florida
25.854615	-80.255065	Hialeah	Florida
25.855189	-80.235831		Florida
25.855628	-80.208266	El Portal	Florida
25.856213	-80.208028	El Portal	Florida
25.857605	-80.322182	Hialeah	Florida
25.859444	-80.122146	Miami Beach	Florida
25.860488	-80.20817	El Portal	Florida
25.861561	-80.253255	Hialeah	Florida
25.862334	-80.269473	Hialeah	Florida
25.86236	-80.19386	Miami Shores	Florida
25.863324	-80.175974	Miami Shores	Florida
25.865554	-80.335487	Hialeah Gardens	Florida
25.86609	-80.191987	Miami Shores	Florida
25.867048	-80.325823	Hialeah Gardens	Florida
25.867418	-80.324295	Hialeah Gardens	Florida
25.867893	-80.235914	Miami	Florida
25.868728	-80.312717	Hialeah	Florida
25.868855	-80.208306	North Miami	Florida
25.869833	-80.330351	Hialeah Gardens	Florida
25.870122	-80.207963	North Miami	Florida
25.870522	-80.271688	Hialeah	Florida
25.871608	-97.543656	Matamoros	Tamaulipas
25.871998	-80.227253	Hialeah	Florida
25.872679	-80.209204	North Miami	Florida
25.872695	-80.213492	North Miami	Florida
25.87492	-80.198368	Miami Shores	Florida
25.874947	-80.198373	Miami Shores	Florida
25.875476	-80.209394	North Miami	Florida
25.875948	-80.169149	North Miami	Florida
25.876915	-80.220013	North Miami	Florida
25.878217	-80.168843	North Miami	Florida
25.879196	-80.244530	Hialeah	Florida
25.879918	-80.324964	Hialeah	Florida
25.881092	-80.276058	Hialeah	Florida
25.882075	-80.167837	North Miami	Florida
25.88252	-80.250653	Hialeah	Florida
25.882696	-80.239494	Hialeah	Florida
25.882819	-80.226776	Hialeah	Florida
25.882944	-80.236903	Hialeah	Florida
25.883113	-80.239052	Hialeah	Florida
25.883211	-80.196709	North Miami	Florida
25.883398	-80.209615	Miami	Florida
25.883504	-80.257435	Hialeah	Florida
25.883567	-80.339243	Hialeah Gardens	Florida
25.883609	-80.339019	Hialeah Gardens	Florida
25.883615	-80.339184	Hialeah Gardens	Florida
25.8838	-80.221149	Hialeah	Florida
25.883884	-80.242676	Hialeah	Florida
25.884482	-80.272612	Opa-locka	Florida
25.884524	-80.190343	North Miami	Florida
25.885278	-80.229384	Hialeah	Florida
25.88528	-80.229408	Hialeah	Florida
25.885319	-80.229348	Hialeah	Florida
25.885324	-80.229258	Hialeah	Florida
25.885336	-80.229346	Hialeah	Florida
25.88533	-80.229276	Hialeah	Florida
25.88535	-80.229311	Hialeah	Florida
25.886002	-80.23406	Hialeah	Florida
25.886773	-80.209129	North Miami	Florida
25.88708	-80.209033	North Miami	Florida
25.888724	-80.258886	Hialeah	Florida
25.888786	-80.208432	North Miami	Florida
25.888921	-80.386722	Medley	Florida
25.889274	-80.21569	North Miami	Florida
25.889553	-80.183382	North Miami	Florida
25.889759	-80.187907	North Miami	Florida
25.889806	-80.266805	Opa-locka	Florida
25.890049	-80.187482	North Miami	Florida
25.890749	-80.183412	North Miami	Florida
25.892091	-80.232327	Hialeah	Florida
25.892802	-80.203882	North Miami	Florida
25.893228	-80.209677	North Miami	Florida
25.893513	-80.339982	Hialeah	Florida
25.893884	-80.231921	Hialeah	Florida
25.894456	-80.336636	Hialeah	Florida
25.894524	-80.326282	Hialeah	Florida
25.894618	-80.336785	Hialeah	Florida
25.894646	-80.336725	Hialeah	Florida
25.894655	-80.336685	Hialeah	Florida
25.894689	-80.336707	Hialeah	Florida
25.894695	-80.336853	Hialeah	Florida
25.894703	-80.336826	Hialeah	Florida
25.894761	-80.336742	Hialeah	Florida
25.895088	-80.325448	Hialeah	Florida
25.895622	-80.336355	Hialeah	Florida
25.895825	-80.230776	Hialeah	Florida
25.895923	-80.210104	North Miami	Florida
25.896259	-80.225981	Hialeah	Florida
25.897041	-80.336254	Hialeah	Florida
25.897675	-80.243231	Opa-locka	Florida
25.89768	-80.160484	North Miami	Florida
25.898048	-80.292647	Hialeah	Florida
25.89805	-80.210548	North Miami	Florida
25.898569	-80.260782	Opa-locka	Florida
25.898946	-80.18904	North Miami	Florida
25.899878	-80.180798	North Miami	Florida
25.899897	-80.263445	Opa-locka	Florida
25.900098	-80.244824	Opa-locka	Florida
25.90308	-80.17327	North Miami	Florida
25.90322	-80.242742	Opa-locka	Florida
25.903585	-80.335833	Miami Lakes	Florida
25.904134	-80.209904	North Miami	Florida
25.904688	-80.209065	North Miami	Florida
